4/9/17,"יום שני י""ג אלול תשע""ז"
7/9/17,"יום חמישי ט""ז אלול תשע""ז"
11/9/17,"יום שני כ' אלול תשע""ז"
14/9/17,"יום חמישי כ""ג אלול תשע""ז"
18/9/17,"יום שני כ""ז אלול תשע""ז"
25/9/17,"יום שני ה' תשרי תשע""ח"
28/9/17,"יום חמישי ח' תשרי תשע""ח"
2/10/17,"יום שני י""ב תשרי תשע""ח"
16/10/17,"יום שני כ""ו תשרי תשע""ח"
19/10/17,"יום חמישי כ""ט תשרי תשע""ח"
23/10/17,"יום שני ג' חשון תשע""ח"
26/10/17,"יום חמישי ו' חשון תשע""ח"
30/10/17,"יום שני י' חשון תשע""ח"
2/11/17,"יום חמישי י""ג חשון תשע""ח"
6/11/17,"יום שני י""ז חשון תשע""ח"
9/11/17,"יום חמישי כ' חשון תשע""ח"
13/11/17,"יום שני כ""ד חשון תשע""ח"
16/11/17,"יום חמישי כ""ז חשון תשע""ח"
20/11/17,"יום שני ב' כסלו תשע""ח"
23/11/17,"יום חמישי ה' כסלו תשע""ח"
27/11/17,"יום שני ט' כסלו תשע""ח"
30/11/17,"יום חמישי י""ב כסלו תשע""ח"
4/12/17,"יום שני ט""ז כסלו תשע""ח"
7/12/17,"יום חמישי י""ט כסלו תשע""ח"
11/12/17,"יום שני כ""ג כסלו תשע""ח"
21/12/17,"יום חמישי ג' טבת תשע""ח"
25/12/17,"יום שני ז' טבת תשע""ח"
1/1/18,"יום שני י""ד טבת תשע""ח"
4/1/18,"יום חמישי י""ז טבת תשע""ח"
8/1/18,"יום שני כ""א טבת תשע""ח"
11/1/18,"יום חמישי כ""ד טבת תשע""ח"
15/1/18,"יום שני כ""ח טבת תשע""ח"
18/1/18,"יום חמישי ב' שבט תשע""ח"
22/1/18,"יום שני ו' שבט תשע""ח"
25/1/18,"יום חמישי ט' שבט תשע""ח"
29/1/18,"יום שני י""ג שבט תשע""ח"
1/2/18,"יום חמישי ט""ז שבט תשע""ח"
5/2/18,"יום שני כ' שבט תשע""ח"
8/2/18,"יום חמישי כ""ג שבט תשע""ח"
12/2/18,"יום שני כ""ז שבט תשע""ח"
15/2/18,"יום חמישי ל' שבט תשע""ח"
19/2/18,"יום שני ד' אדר תשע""ח"
22/2/18,"יום חמישי ז' אדר תשע""ח"
26/2/18,"יום שני י""א אדר תשע""ח"
5/3/18,"יום שני י""ח אדר תשע""ח"
8/3/18,"יום חמישי כ""א אדר תשע""ח"
12/3/18,"יום שני כ""ה אדר תשע""ח"
15/3/18,"יום חמישי כ""ח אדר תשע""ח"
19/3/18,"יום שני ג' ניסן תשע""ח"
22/3/18,"יום חמישי ו' ניסן תשע""ח"
