7/9/17,"יום חמישי ט""ז אלול תשע""ז"
14/9/17,"יום חמישי כ""ג אלול תשע""ז"
28/9/17,"יום חמישי ח' תשרי תשע""ח"
19/10/17,"יום חמישי כ""ט תשרי תשע""ח"
26/10/17,"יום חמישי ו' חשון תשע""ח"
2/11/17,"יום חמישי י""ג חשון תשע""ח"
9/11/17,"יום חמישי כ' חשון תשע""ח"
16/11/17,"יום חמישי כ""ז חשון תשע""ח"
23/11/17,"יום חמישי ה' כסלו תשע""ח"
30/11/17,"יום חמישי י""ב כסלו תשע""ח"
7/12/17,"יום חמישי י""ט כסלו תשע""ח"
21/12/17,"יום חמישי ג' טבת תשע""ח"
4/1/18,"יום חמישי י""ז טבת תשע""ח"
11/1/18,"יום חמישי כ""ד טבת תשע""ח"
18/1/18,"יום חמישי ב' שבט תשע""ח"
25/1/18,"יום חמישי ט' שבט תשע""ח"
1/2/18,"יום חמישי ט""ז שבט תשע""ח"
8/2/18,"יום חמישי כ""ג שבט תשע""ח"
15/2/18,"יום חמישי ל' שבט תשע""ח"
22/2/18,"יום חמישי ז' אדר תשע""ח"
8/3/18,"יום חמישי כ""א אדר תשע""ח"
15/3/18,"יום חמישי כ""ח אדר תשע""ח"
22/3/18,"יום חמישי ו' ניסן תשע""ח"
